Title,Company,Qualifications,Description,Location
CNC Operator,Jay bhavani engineering,Certificate Course (ITI),CNC machine operating and maintenance  whit quality control day and night shift compulsory Job available for 1 machine opreting2 ...,Ahmedabad
Sales Associate,Svitch Bike Pvt Ltd,Diploma,Job SummaryWe’re looking for a results-driven sales representative to actively seek out and engage customer prospects.Responsibilities an...,Ahmedabad
Wordpress developer,Age Technolab,Certificate Course (ITI),"Designing and implementing new features and functionalityEstablishing and guiding the website's architectureBuild websites, prototypes and ...",Ahmedabad
Business Development Executive,Binary Bakers IT Solutions,Diploma,We are looking for a dynamic and organized Business Development Executive for our team in Ahmedabad location with 0.6 months to 3.5 years o...,Ahmedabad
ITI fitter,Japanese MNC,Certificate Course (ITI),Moulds de-muffling and openingMould cleaning.Mould oiling.Mould Mopping Mould Maintenance. Inserts' fixing to cage.Rebar cage placing.Fixin...,Ahmedabad
HR Executive,Qurac solutions,MBA/PGDM,"Responsible for all HR-related work, recruitment of employees joining of employees, manage database, good knowledge of MS excel, ...",Ahmedabad
Recruiter,Premier Consultants,B.Com,Independently handling the end-to-end recruitment process.Recruitment for Domestic and International Client.Source Candidates from Database...,Ahmedabad
Business Development Executive,Client Company,Any Graduate,Krazy Mantra HR Solutions is a manpower solution company since 2008. We provide manpower solutions to all sector in India as well as Intern...,Ahmedabad
Magento Developer,Addisinfotech,BE/B.Tech,"We are seeking talented, self-motivated 2 Sr MAGENTO Developers with good front and back end development skills to work on multile Magento ...",Ahmedabad
PHP Developer,Appstech Solution,BCA,"A PHP Developer is responsible for creating and implementing an array of Web-based products using PHP, MySQL, Ajax, and JavaScript.You deve...",Ahmedabad
Senior software developer,Appstech Solution,BE/B.Tech,"Researching, designing, implementing and managing software programsTesting and evaluating new programs.Identifying areas for modi...",Ahmedabad
Telecaller,Appstech Solution,B.Com,To Handle the calls.Converts inquiries into sales by answering inbound telephone calls.Advises present or prospective customers by answerin...,Ahmedabad
Tally Faculty cum account Assistant,NIITManinagar,B.Com,"knowledge of Basic Computer & Advance Excel prefered,Trainer / Faculty must have proven practical knowledge of the above technology pla...",Ahmedabad
Store Manager,The Warehouse footwear store,B.Com,Leading Retail brand Requires Store Manager ( Ahmedabad) ( Should have experience in Footwear/ Apparel category) We are looking for Re...,Ahmedabad
Frontend Developer,Bytes Technolab,Any Post Graduate,"Frontend Developer2-4 years of experience in web design and HTML developmentWorked with HTML5, CSS3, JQuery.Must have experience with Respo...",Ahmedabad
Jr. Business Analyst,Bytes Technolab,Any Post Graduate,Business Analyst Jobs in Bytes Technolab - Ahmedabad. Jr. Business AnalystGathering Client requirements over calls & in-person meetings...,Ahmedabad
Sr. HTML Developer,Bytes Technolab,Any Post Graduate,HTML Developer Jobs in Bytes Technolab - Ahmedabad. Sr. HTML Developer2-4 years of experience in web design and HTML developmentWorked with...,Ahmedabad
Jr. SEO Executive,Bytes Technolab,Any Post Graduate,SEO Executive Jobs in Bytes Technolab - Ahmedabad. Jr. SEO ExecutiveProven track record of delivering tangible results on traffic and conve...,Ahmedabad
QC Chemist,Ishita Drugs & Industries Ltd,M.Pharm,"Job SummaryQuality Control and R&D functions in a Pharmaceutical plant.Testing and analysis of various raw materials, finished drugs.Do...",Ahmedabad
Female Staff Nurse,The HR Theory,Diploma,Register with Teamlease to apply online for similar kind of Female Staff Nurse jobs....,Ahmedabad
Staff Nurses,Shraddha Corporate Services,BSc,Register with Teamlease to apply online for similar kind of Staff Nurses jobs....,Ahmedabad
Software Developer,Universal Software,BCA,"Sound knowledge in Angular & Web API is desiredApplicant should have Core Programming skills in Visual Studio, ASP.NET, MVC (5.2.3.0),...",Ahmedabad
Business Development Executive,Universal Software,Diploma,"Must have marketing skills, Presentation Skills, Negotiation skillsIdentify the potential leads and source the data from internet according...",Ahmedabad
QA analyst,Universal Software,Diploma,"Develop and establish quality assurance measures and testing standards for new applications, products, and/or enhancements to existing appl...",Ahmedabad
Business Analyst,Universal Software,Diploma,Interface with clients and gain understanding of requirements through meetings and calls.Analyze the requirements and identifying the best ...,Ahmedabad
UX/UI Designers,Moon Technolabs Pvt Ltd,BE/B.Tech,SkillsStrong working knowledge of the Adobe Creative SuiteStrong understanding of UI design techniques and toolsA passion for Interaction D...,Ahmedabad
HR Recruiter,Adler Talent Solutions Pvt. Ltd.,Any Graduate,Ltd. - Ahmedabad. Job Summary:The incumbent would be responsible for handling end to end recruitment cycle for various corporate across Ind...,Ahmedabad
Reception Executive,Jayatma Technologies Pvt. Ltd.,BA,Ltd.. Register with Teamlease to apply online for similar kind of Reception Executive jobs....,Ahmedabad
MIS Executive,Trisha Consultancy Services,Diploma,Register with Teamlease to apply online for similar kind of MIS Executive jobs....,Ahmedabad
Ticketing Executive,Motherson Sumi Systems limited,BA,Register with Teamlease to apply online for similar kind of Ticketing Executive jobs....,Ahmedabad
Insurance Advisor,VAIBHAVI INSURANCE & INVESTMENT,Certificate Course (ITI),INSURANCE MARKETING WORK FOR INDIA'S BIGGEST INSURANCE COMPANY LIC OF INDIAYOU WILL GET MONTHLY SALARY RS 7000 + GOOD COMMISSION ALSO ...,Ahmedabad
Japanese Translator,Tata Autocomp Systems Ltd,10th Pass (SSC),Register with Teamlease to apply online for similar kind of Japanese Translator jobs....,Ahmedabad
Translator Reviewer,Anash Clinical Research Solutions,BA,Register with Teamlease to apply online for similar kind of Translator Reviewer jobs....,Ahmedabad
Staff Nurse,Panacea Healthcare Management,BSc,Register with Teamlease to apply online for similar kind of Staff Nurse jobs....,Ahmedabad
Female Staff Nurse,The HR Theory (Hiring for NGO),BSc,Register with Teamlease to apply online for similar kind of Female Staff Nurse jobs....,Ahmedabad
Web Developer,Media City,BCA,Required Laravel Developer. He/She is preferred with 1 year of experience.We are a team of young and enthusiastic designers and develo...,Ahmedabad
Office Assistant,Dwarkesh Pharmaceutical Pvt Ltd,BA,Register with Teamlease to apply online for similar kind of Office Assistant jobs....,Ahmedabad
Front Desk Cum Admin Executive,Verve Systems,10th Pass (SSC),Register with Teamlease to apply online for similar kind of Front Desk Cum Admin Executive jobs....,Ahmedabad
HR Executive,Savitriya Technologies Pvt. Ltd,MBA/PGDM,Ltd. Register with Teamlease to apply online for similar kind of HR Executive jobs....,Ahmedabad
Content Developer,Aries Events Pvt. Ltd,BA,Ltd. Register with Teamlease to apply online for similar kind of Content Developer jobs....,Ahmedabad
Beautician,Celebrations Salons,10th Pass (SSC),Register with Teamlease to apply online for similar kind of Beautician jobs....,Ahmedabad
Content Writer,I-verve Infoweb Pvt Ltd,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writer,Bytes technolab,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writer,Continuum Software Solutions,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Computer Typist,Nilesh patel advocate ND com,12th Pass (HSE),"It is an advocate office.a candidate who is good in Gujarati or English typing in the computer can apply.also, handle Customer.another work...",Ahmedabad
MIS Executive,"Integrated Resources, Inc",B.Com,Register with Teamlease to apply online for similar kind of MIS Executive jobs....,Ahmedabad
MIS Executive,POST A RESUME HR Consultancy,B.Com,Register with Teamlease to apply online for similar kind of MIS Executive jobs....,Ahmedabad
Content Writing Internship,Ginis Digital,BA,Register with Teamlease to apply online for similar kind of Content Writing Internship jobs....,Ahmedabad
Content Writer,Samridhi Placements,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Carpenter,Luhu IT Solutions private limited,10th Pass (SSC),Register with Teamlease to apply online for similar kind of Carpenter jobs....,Ahmedabad
Content Writer,Citta Solutions Private Limited,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writer,OMS Guru,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Automobile Electrician,Tracknow Private Limited,Certificate Course (ITI),Register with Teamlease to apply online for similar kind of Automobile Electrician jobs....,Ahmedabad
Content Writer,Ultimate HR Talent Acquisition,10th Pass (SSC),Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writer,Ariv Information (Indian Business Pages),BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writer,Liveblack,10th Pass (SSC),Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
EA to MD,Ignited Heads,BA,Register with Teamlease to apply online for similar kind of EA to MD jobs....,Ahmedabad
Content Writer,Super 20 Training Institute,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writer,Phoenix Enterprises Nexus India Pvt Ltd,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writer,Acute Informatics Pvt. Ltd,BA,5 years of experience via Acute Informatics Pvt. Ltd. Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content writer intern,OTFCoder,BA,Register with Teamlease to apply online for similar kind of Content writer intern jobs....,Ahmedabad
Cashier,iVenus,B.Com,Register with Teamlease to apply online for similar kind of Cashier jobs....,Ahmedabad
Business Analyst,Addisinfotech,BE/B.Tech,"Skills NeededBid on online platforms like upwork.com, freelancer.com, guru.comGenerate leads from other Social media platform, Classified a...",Ahmedabad
Warehouse Executive,Conclusion Consultancy,BA,Register with Teamlease to apply online for similar kind of Warehouse Executive jobs....,Ahmedabad
Customer Service Executive,Micro Orbit Consulting Services Inc.,BA,. Register with Teamlease to apply online for similar kind of Customer Service Executive jobs....,Ahmedabad
Customer Care Executive,Patel Dairy Products Pvt Ltd,12th Pass (HSE),Register with Teamlease to apply online for similar kind of Customer Care Executive jobs....,Ahmedabad
Receptionist Front Desk,Ocean Academy,Diploma,"Job Duties:
Require Front Desk Receptionist for Engineering Classes.Good with interpersonal skills with basic computer knowledge....",Ahmedabad
Food Delivery Boy,Swiggy,10th Pass (SSC),Food delivery to the customer in Swiggy And need to know about google map and must bike and licence and Aware of the ...,Ahmedabad
Fronted DeveloperAngular JS,Magneto IT Solutions,BCA,"Job Title: Fronted Developer(Angular JS, HTML5)Location: AhmadabadVacancy: 1Experience: 2-4 YrsQualification: Any IT/Computer Degree/Bachel...",Ahmedabad
Front End Developer,Agilecube Technologies Pvt. Ltd.,BCA,"Ltd. - Ahmedabad. General Review, Evaluate, and Validate technical requirementExperience with angular/react technologiesWork with Client / ...",Ahmedabad
SEO Executive,Wizard HR Consultancy,Any Graduate,"Job Description: As SEO/Digital Marketing Analyst you will be involved in following activities.On-Page SEO Optimization (TF-IDF, Cora)...",Ahmedabad
React Native Developer,App Ideas Infotech Pvt Ltd,Diploma,"Dear Candidate
Greetings from App Ideas
Infotech Pvt Ltd
App Ideas Infotech Pvt Ltd
looking for a React Native Developer. The
App Idea...",Ahmedabad
Sales Boy/Girl,Santiniketan boutique,No Education/Schooling,"need sales boy for garment showroom and girl who can help the sale boy and do some computer work in the showroom, experience sale ...",Ahmedabad
Customer Care Officer,SILVER PEARL SHIPPINGAND LOGISTICS,Certificate Course (ITI),"candidate having knowledge for MSOffice, word. good communication skills quality of leadership. coordinating with  our branc...",Ahmedabad
Assistant Acquisition Manager-CASA,Skill Connect,Any Post Graduate,"Acquisition of New Client (NTB) through external individual efforts for Current Account, Savings Account Products of the bank. Custome...",Ahmedabad
Marketing Executive,AUM CHAINS,12th Pass (HSE),"Job Duties:MARKETING KARNA, PRODUCT SHOW KARNA, CUSTOMER SE CONNECT BANANA, AUR REPORTING KARNA. Company will provide you the plan you...",Ahmedabad
Sourcing Head,Accel,Any Graduate,Sourcing HeadLocation : AhmedabadResponsibilities:Strong evangelist of the ninjacart value proposition for farmersHead the entire local dir...,Ahmedabad
Category Manager - Mens Grooming,Accel,Any Post Graduate,Category Manager - Men's GroomingLocation : AhmedabadJob Responsibilities : End-to-end ownership of select service categories (The buc...,Ahmedabad
HR Generalist,Adler Talent Solutions Pvt. Ltd.,Any Graduate,Ltd. - Ahmedabad. HR GeneralistSalary : 1.80-3.00 LacsDescription : The incumbent would be responsible for handling end to end HR Generalis...,Ahmedabad
Call center executive,Zobone International Outsourcing Pvt. Ltd.,Any Graduate,Ltd. - Ahmedabad. Responsibilities and DutiesResponsibilities:Obtaining the client’s information by calling.Verifying the obtained inform...,Ahmedabad
Visa Counselor,Precious Education & Immigration Consultant,Diploma,Counselling student for various courses offered by our partner University.Preparing Visa Documentation and Visa FilesLionizing with Univers...,Ahmedabad
Hr Recruiter,Client Company,Any Graduate,"We are Hiring HR Recruiters
for Ahmedabad Branch.
Job Title: HR RecruiterLocation: AhmedabadExperience:     &nbsp...",Ahmedabad
React Js Intern,SoluLab Inc,BE/B.Tech,Job Description :Experience with React Native or ReactJSFamiliarity with the Flux Design Pattern or one of the libraries it inspired (i.e. ...,Ahmedabad
CAMPAIGN MANAGEMENT TRAINEE,Ensight Business Solutions Pvt. Ltd.,MBA/PGDM,Ltd. - Ahmedabad. JOB TITLE : CAMPAIGN MANAGEMENT TRAINEE JOB LOCATION : AHMEDABAD JOB DESCRIPTION Key Responsibilities...,Ahmedabad
International Voice Process/Research Associate,TECHNO WISE,Any Graduate,Key Skills :Outbound calls to companies in English speaking countries and perform lead pre-qualification and contact verification.Ability t...,Ahmedabad
Application Engineer MathWorks,DesignTech Systems Ltd.,BE/B.Tech,- Ahmedabad. Application Engineer _ MathWorksLocation: AhmedabadJob Code: B121368Educational Qualification: B. E (Electronics & Communi...,Ahmedabad
ASP.NET MVC Developer,Prishusoft,BCA,"NET MVC Developer Jobs in Prishusoft - Ahmedabad. Dear Candidate, Greetings from Prishusoft Softwares.!We are having vacancy for ASP.NE...",Ahmedabad
IT Project Coordinator Trainee,Ensight Business Solutions Pvt. Ltd.,BCA,Ltd. - Ahmedabad. Opening: IT Project Coordinator Trainee We are looking for a dynamic IT Project Coordinator Trainee having below ski...,Ahmedabad
ITI fitter,A Client of TeamLease Skills University,Certificate Course (ITI),"TurnerFitterand Welder require for company in Kerla GIDC , Bavla Area Ahmedabad...",Ahmedabad
Staff Nurse,Panacea,BSc,"Maintaining accurate, complete health care records and reports. Administering medications to patients and monitoring them for side eff...",Ahmedabad
Wordpress developer,Jb solutions,BE/B.Tech,We are looking for an experienced and passionate WordPress Developer to join our IT team!  Company Details : 'JB Solutions' is so...,Ahmedabad
Presales Team Member,SOBHA Limited,MBA/PGDM,Presales Team MemberRef. Code:TCMFunctional Area : MarketingNumber of Position: 03Location: AhmedabadExperience: 1 years to 5 yearsJob Desc...,Ahmedabad
Computer Teacher,Cratuse,BCA,We Are Recruiting people who can teach the computer to 11th/12th students.Any Graduate Who Is Fresher Will Do.The Candidate Should Know Bas...,Ahmedabad
PHP/Word Press Developer,Optimum future,Diploma,Designing and implementing new features and functionalityEstablishing and guiding the website’s architectureEnsuring high-performance and...,Ahmedabad
Business Acquisition Executive,Client Company,Diploma,"Krazy Mantra is a group of Companies since 2008. We provide manpower solutions to all sector in India, Europe and the US. Our Branches...",Ahmedabad
IT Software Engineer,Addisinfotech,BCA,"We are looking to hire 2 Sr. Magento Developer with strong experience developing websites with PHP, Zend, HTML(5),CSS, and JavaScript to j...",Ahmedabad
Accounting Office Manager,AMS INDIA PVT. LTD.,B.Com,"LTD. - Ahmedabad. Take care of accounting books, General Office Management....",Ahmedabad
PE-TM/Line Incharge-Machine shop,Hero MotoCorp Ltd.,Any Post Graduate,- Ahmedabad. PE-TM/Line Incharge-Machine shop No. Of Post: 1 JobCompany: Hero MotocorpShort Description:To establish new pre-trea...,Ahmedabad
SEO Executive,App Ideas Infotech Pvt Ltd,Diploma,"Min.
Experience:- 0.6 to 1 YearJob
Location: A’bad (Nikol)Bond:-
1 YearSalary
:- 10k to 20k (Depends on Skills and experience)Education
Q...",Ahmedabad
Sales Executive,Central Electrochemical Research Institute CECRI,Other Graduate,"Organizing sales visits
Sales commercial
vehicle 
Demonstrating and presenting
products
Generating the new inquiry
...",Ahmedabad
Receptionist Front Desk,THE BLUE STAR GYM,Any Graduate,"Receptionist at gym. Should be female. Freshers are welcome , job timings will be morning 7-12 and 4-8 evening ! Sunday holi...",Ahmedabad
Assistant / Deputy Manager - FA,Aditya Birla Management Corporation Pvt. Ltd.,MBA/PGDM,"Ltd. - Ahmedabad. Assistant / Deputy Manager - F&AOrganization: Swiss Singapore India Pvt. LtdQualifications: CA, MBA - FinanceJob Desc...",Ahmedabad
Customer Service Executive/ Representative.,Jyoti InfoSolution Pvt Ltd,Certificate Course (ITI),"Jobs in Jyoti InfoSolution Pvt Ltd - Ahmedabad. Our team is expanding
and we’re currently looking for Candidates with outstanding English...",Ahmedabad
Professor / Associate Professor / Assistant Registrar/ System Engineer,NIPER,M Phil / Ph.D,"Professor / Associate
Professor / Assistant Registrar/ System
Engineer job Position in National Institute of Pharmaceutical Education and
R...",Ahmedabad
Customer Support Executive,Utm pvt.ltd.,Certificate Course (ITI),"ltd. - Ahmedabad. Dear Candidates,We Are Looking For: Part-Time And Full-Time Customer Support Individuals To Help Us.In Building Good Servi...",Ahmedabad
PHP trainee,ESparkBiz Technologies Pvt. Ltd,BE/B.Tech,Ltd - Ahmedabad. Responsibilities: Project analysis and planningDeveloping codes based on the analysis to make the project functionalR...,Ahmedabad
Graphic Designer,Limited Edition,10th Pass (SSC),"We are looking, someone who can help in creativity. Limited Edition is just one year young and one of the fastest-growing Event Manage...",Ahmedabad
Tender Executive,House Keeping & Allied Services,B.Com,"Job DescriptionSearch for Tender from different PortalsDocument PreparationResearch (Qualification Criteria, Requirement, Estimate Analysis...",Ahmedabad
physhiotherapist,Health Plus Advanced Physiotherapy & Fitness Center,Other Graduate,We need experienced of fresher physiotherapist & Fitness Trainer. Who are looking for a long time steady job....,Ahmedabad
Sales/Marketing Executive,Appstech Solution,B.Com,"Contributes information, ideas, and research to help develop marketing strategiesHelps to detail, design, and implement marketing plans for...",Ahmedabad
Chartered Accountant,KPSJ & ASSOCIATES LLP,CA,"As a chartered accountant you'll give advice, audit accounts and
provide trustworthy information about financial record...",Ahmedabad
Unit Manager - Sales Mutual Fund Insurance - Ahmedabdad,NJ India Invest Pvt Ltd,MBA/PGDM,"Recruitment of Financial Products Distributors (1)
Generating leads from Open Market who are interested in becoming
Distributor / Indivi...",Ahmedabad
ITI Fitter,Drishti Consultants Pvt. Ltd,Certificate Course (ITI),Ltd. Register with Teamlease to apply online for similar kind of ITI Fitter jobs....,Ahmedabad
Female office assistant,Clyz Labs Limited,BA,Register with Teamlease to apply online for similar kind of Female office assistant jobs....,Ahmedabad
Front Office Executive,OSI VISA & IMMIGRATION,BA,Register with Teamlease to apply online for similar kind of Front Office Executive jobs....,Ahmedabad
Beautican,Lakme Lever,10th Pass (SSC),Register with Teamlease to apply online for similar kind of Beautican jobs....,Ahmedabad
Sales and Marketing Executive,Mivan Technologies,Diploma,"Dear Candidates,Greetings for the day!!Hope you are doing wellHere we are looking an urgent position with leading electronics industry...",Ahmedabad
Network Engineer,Appstech Solution,Diploma,"New Network infrastructure planning, analysis, and implementation designYou should monitoring LAN/WAN trafficRouter performance monitoring&...",Ahmedabad
Ticketing Executive,Snoops Logistics LLP.,10th Pass (SSC),. Register with Teamlease to apply online for similar kind of Ticketing Executive jobs....,Ahmedabad
Jr. Magento Developer,Bytes Technolab,Any Graduate,"Magento Developer Jobs in Bytes Technolab - Ahmedabad. Jr. Magento DeveloperExtensive experience of PHP and MySQL.Payment Gateways, XML wit...",Ahmedabad
Content Writer,Be Big Seller,Certificate Course (ITI),Join the fastest-growing field of e-CommerceLocation - *Sarkhej Signature 2 - (Please apply only if you can travel Sarkhej Daily)Must need ...,Ahmedabad
OBGYN Nurse,Panacea Healthcare Management,BSc,Register with Teamlease to apply online for similar kind of OBGYN Nurse jobs....,Ahmedabad
HR Recruiter,F F PVT LTD,B.Com,Jobs Available For Part Timers and Full Timers Also. We Need Passionate People For Customer Service Contribute In The Promotion & ...,Ahmedabad
Hotel Sales Executive,The Metropole Hotel Ahmedabad,BA,Register with Teamlease to apply online for similar kind of Hotel Sales Executive jobs....,Ahmedabad
Back Office Executive,MUVR Technology Pvt Ltd,B.Com,Office admin work which will include online documents verification from admin cell. calling our on field team if certain accounts are ...,Ahmedabad
Receptionist cum Telecaller,NXC Controls Pvt. Ltd.,12th Pass (HSE),Ltd.. Register with Teamlease to apply online for similar kind of Receptionist cum Telecaller jobs....,Ahmedabad
Sales Team Leader,Venus Consultancy,B.Com,Achieving growth and hitting sales targets by successfully managing the sales team.Communicates deadlines and sales goals to team members.A...,Ahmedabad
E Commerce Executive,The Athlos,12th Pass (HSE),Register with Teamlease to apply online for similar kind of E Commerce Executive jobs....,Ahmedabad
Purchase Executive and Admin head,Mascot event management,BA,Register with Teamlease to apply online for similar kind of Purchase Executive and Admin head jobs....,Ahmedabad
Content Writer,Plumtree Web Solutions,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writer,Amnex Infotechnologies,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Sales and Marketing Executive,Vinay steels,Diploma,to go to field giving presentations get inquiry and business getting purchase order by giving a quotationbusiness knowledge required very p...,Ahmedabad
Account Assistant Back office,Placement Planet,BA,Register with Teamlease to apply online for similar kind of Account Assistant Back office jobs....,Ahmedabad
Software Developer Back End,HSC Consulting,BA,Register with Teamlease to apply online for similar kind of Software Developer Back End jobs....,Ahmedabad
Content Writer,Outkreate,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Magento Developer,SQUAD TECHNOLOGIES PVT.LTD.,BCA,LTD. - Ahmedabad. Detailed Job Description/Specification:Excellent understanding of Magento's code structure and extension architecture.Expe...,Ahmedabad
Content Writing Internship,Wolfable,BA,Register with Teamlease to apply online for similar kind of Content Writing Internship jobs....,Ahmedabad
Junior Software Developer,Rain Creatives,BCA,We are :Hiring Python trained candidates with good knowledge on Web / API / ML domain.BE/B.Tech/ME/M.Tech or MCA (year of passing 2016/2019...,Ahmedabad
Technical Content Writer,Edwise Placement,BA,Register with Teamlease to apply online for similar kind of Technical Content Writer jobs....,Ahmedabad
Seo Digital Marketing Specialist,Sublime Data Systems,BA,Register with Teamlease to apply online for similar kind of Seo Digital Marketing Specialist jobs....,Ahmedabad
Senior Content Writer,Outkreate,BA,Register with Teamlease to apply online for similar kind of Senior Content Writer jobs....,Ahmedabad
Content Writer,Openxcell Technolabs Pvt. Ltd.,BA,5 to 1 years of experience via Openxcell Technolabs Pvt. Ltd.. Register with Teamlease to apply online for similar kind of Content Writer jo...,Ahmedabad
Content Writer IT Company,Techno Infonet Gujarat Pvt. Ltd,BA,Ltd. Register with Teamlease to apply online for similar kind of Content Writer IT Company jobs....,Ahmedabad
Content Writer Technical Background,AgileInfoways,BA,Register with Teamlease to apply online for similar kind of Content Writer Technical Background jobs....,Ahmedabad
Content Writing Internship,Yogasvi,BA,Register with Teamlease to apply online for similar kind of Content Writing Internship jobs....,Ahmedabad
Content Writer and Editor,Daily Techno Trends,BSc,Register with Teamlease to apply online for similar kind of Content Writer and Editor jobs....,Ahmedabad
Content Writer,CIMS Hospital,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writer,LeoPedia Web Solutions,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writer,Kunsh Technologies,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Mobile Developer,Kunsh Technologies,Any Graduate,"Mobile DeveloperLocation : Ahmedabad, IndiaExperience : 1-3+ years experienceResponsibilities : Develop native mobile apps for iOS and...",Ahmedabad
Technical Recruiter - US Staffing Night Shift,Kunsh Technologies,Any Graduate,"Technical Recruiter - (US Staffing Night Shift)Location : Ahmedabad, IndiaExperience : 1-3+ years experienceResponsibilities : Develop...",Ahmedabad
Web Content Writer,ICE GATE Institute,BA,Register with Teamlease to apply online for similar kind of Web Content Writer jobs....,Ahmedabad
Back Office Executive,Mona Dye Chem,BA,Register with Teamlease to apply online for similar kind of Back Office Executive jobs....,Ahmedabad
E Commerce executive,Marvel It Services & Tech,BA,Register with Teamlease to apply online for similar kind of E Commerce executive jobs....,Ahmedabad
Warehouse Executive,Maruti online pvt ltd,10th Pass (SSC),Register with Teamlease to apply online for similar kind of Warehouse Executive jobs....,Ahmedabad
Receptionist,Esteem Tours,12th Pass (HSE),"Job Duties:
Welcomes visitors by greeting them, in person or on the telephone; answering or referring inquiries.
Directs vis...",Ahmedabad
Sales Associate,City Home Guide Real Estate Inc.,B.Com,"- Ahmedabad. Job Duties:
Identifies business opportunities by identifying prospects and evaluating their position in the industr...",Ahmedabad
Full Stack Developer,Talent Corner HR Services Pvt Ltd,BE/B.Tech,"Strong knowledge of any PHP MVC framework (Yii preferred)Strong Knowledge in JavaScript, jQuery etcStrong Knowledge of Relational Databases...",Ahmedabad
Technical Support Engineer,Talent Corner HR Services Pvt Ltd,BE/B.Tech,ArialTimes New RomanCalibriComic Sans MS0Excellent knowledge of VoIP and SIP.Good experience in FreeSWITCH.Good knowledge of Linux.Good kno...,Ahmedabad
Sr. PHP Developer,Talent Corner HR Services Pvt Ltd,BE/B.Tech,PHP Developer Jobs in Talent Corner HR Services Pvt Ltd - Ahmedabad. Strong knowledge of Core PHP & OOPS Concepts.Strong Knowledge in J...,Ahmedabad
PHP Developer,Talent Corner HR Services Pvt Ltd,BE/B.Tech,"Strong knowledge of Core PHP & OOPS ConceptsStrong Knowledge in JavaScript, jQuery, Ajax, XML, CSS, HTMLStrong Knowledge of Relational ...",Ahmedabad
Sr Accountant,Mehta Excel Private Limited,CA,Register with Teamlease to apply online for similar kind of Sr Accountant jobs....,Ahmedabad
Maintenance Supervisor,Jk trading co,12th Pass (HSE),stock maintenance  ...,Ahmedabad
Sr. iOS Developer,Clarion Technologies,BE/B.Tech,IOS Developer Jobs in Clarion Technologies - Ahmedabad. Sr. iOS DeveloperJobs ID: 529 Experience: 3 - 5 yrs Location: AhmedabadEs...,Ahmedabad
Engineer - Android Application Development,CelloIP Technologies,BE/B.Tech,Develop an Android application from designCan analyze the requirement and communicate with clientsMust have proficiency in communicationSho...,Ahmedabad
iOS Developer,Magneto IT Solutions,BCA,Job Title: iOS DeveloperLocation: AhmedabadVacancy:  2Experience: 2-3 YrsQualification: Any IT/Computer Degree/Bachelor Degree Must.CT...,Ahmedabad
Sr. Quality Analyst,Magneto IT Solutions,BCA,Quality Analyst Jobs in Magneto IT Solutions - Ahmedabad. Job Title: Sr. Quality AnalystLocation: AhmedabadVacancy: 03 PostExperience:...,Ahmedabad
Interior Designer,Mk design studio,Diploma,"Interior Designer, AutoCAD, 3D Pictures,Need to Communicate with Clients and ask their requirementsBoth male and female can apply....",Ahmedabad
Shopify Developer,App Ideas Infotech Pvt Ltd,Diploma,"Dear Candidate
Greetings from App Ideas
Infotech Pvt Ltd
App Ideas Infotech Pvt Ltd
looking for a Shopify Developer. The
App Ideas is ...",Ahmedabad
Business Development Executive,App Ideas Infotech Pvt Ltd,Any Post Graduate,"Dear
Candidate
Greetings
from App Ideas Infotech Pvt Ltd
Designation:
Business Development Executive
Min.
Experience:- 0 to 1 YearJob
Loca...",Ahmedabad
Business Development Manager,App Ideas Infotech Pvt Ltd,M Phil / Ph.D,"Dear
Candidate
Greetings
from App Ideas Infotech Pvt LtdDesignation:
Business Development ManagerMin.
Experience:- 2 to 3 YearsJob
Location...",Ahmedabad
Junior Software Developer,Cayzen Technologies,BCA,Cayzen India is working on several software as a service (SAAS) startup ideas for both internally funded startups as well as customers who ...,Ahmedabad
PHP Developer,TAVAT Consultancy LLP,BCA,"Good knowledge of an NGINX (server) and Swagger (API) Good Knowledge of a Laravel, Python, PHP. Python is not mandatory but...",Ahmedabad
