,Title,Company,Location,Salary,Summary
217,Accounts Executive- Receivables,Travel Designer India Pvt Ltd,"Ahmedabad, Gujarat",270000.0,Accounting of Accounts Receivable & Payables. … Inter company transaction and Reconciliations. … Business follow-ups for outstanding with customers & suppliers.
218,Office Receptionist & Admin,Pagadala Constructions,"Guntur, Andhra Pradesh",Nan,Position Office Receptionist & Admin. … Experience 0 to 3 years. … Forward your resume to following email :…
219,Social Media Marketing,Gastroclinix,"Ahmedabad, Gujarat",150000.0,"Social media posts - Facebook, instagram, Twitter. All kinds of digital marketing including email. I expect 5 hours of work per day."
220,MIS Executive,"Luniya & Company, Chartered Accountants","Goregaon, Mumbai, Maharashtra",300000.0,Need a person for our client (Foreign Bank )based in Gorgaon. Candidate should have good command over MS-Excel and MS-Power Point.
221,School Principal,Educore - Training & Placement,"Shivpuri, Madhya Pradesh",600000.0,Excellent written and verbal communication skills. Excellent interpersonal and team coordination skills. … Min-2-3 year working experience in the same position.
222,Join Zomato as food delivery boy/Rider/Biker/Driver/Fresher,Zomato Media Private Limited,"Ahmedabad, Gujarat",270000.0,1)Pick and deliver food on time with best service quality. … Bank Document (Cancelled Cheque or Bank Passbook). … (Walk-In Monday to Sunday(10 AM-7 PM).
223,Computer Operator cum Office Assistant,Lyness mart pvt ltd,"Solan, Himachal Pradesh",272400.0,Our company is searching for an energetic and reliable Office assistant/computer operator to work directly with the billing department to help process and…
224,Wireman,"Silvassa Municipal Council, DNH","Silvassa, Dadra and Nagar Haveli",498600.0,UT Administration of Dadra & Nagar Havell invites online applications from eligible persons for the recruitment of following posts under Silvassa Municipal…
225,Labour Welfare Officer,Gujarat Mineral Development Corporation Limited,"Ahmedabad, Gujarat",110450.0,"Maximum Age as on 1/09/2019: Maximum age 35 years Can be relaxed for reserved category like SC,ST,SEBC & EWS for 5 years. Minimum Three (03) Years Experience."
226,Office Executive,BINODINI E-SERVICES (OPC) PRIVATE LIMITED,"Hilpatna (Berhampur5), Orissa",102000.0,"Handling incoming calls and other communications. Greeting clients and visitors as needed. Updating paperwork, maintaining documents and word processing."
227,Data Entry Clerk / Back office executive,Ankur Oil And Refrigeration,"Swargate, Pune, Maharashtra",192000.0,Free transport facility will be provided to the candidate after the probation period of 3 months. We are hiring fresher's for domestic and international calling…
228,Coordinator - MIS,Save the Children,"Jaipur, Rajasthan",Nan,Post graduate degree in Social Work / Social Sciences / Statistics / Demography / Population studies / Anthropology / Development studies or equivalent from a…
229,Desktop Support-Administrator,Wipro LTD,"Gurgaon, Haryana",Nan,"As an Administrator, you should be able to do system administration, Incident / problem determination and resolution on a 24x7 basis Incident, Problem, Change…"
230,driver's,Signin Group,India,Nan,"The company driver work description may also entail dropping and picking up staff and business partners of the organization from gatherings, airplane terminals…"
231,Central Operations-Admin office-Purchase & Stock Take,SNEHA,"Santacruz, Mumbai, Maharashtra",Nan,"Minimum HSC, graduation in Commerce preferred. To purchase products/services/works that are essential for our company’s day-to-day operations and that come…"
232,FRESHER(10TH TO GRADUATE) REQUIRED,Tans care service,"South Malviya Nagar, Delhi",238200.0,"Freshers & Experience are welcome. We have an urgent opening for 10th, 12th pass. Excellent salary and Attractive Incentives provided."
233,Office Administrator/Admin Executive,Code Brew Labs,"Chandigarh, Chandigarh",0,"The ideal candidate will have a cheery disposition, impeccable organisational skills, and prior experience in an administrator role."
234,Technician,Dr. B R Ambedkar National Institute Of Technology,"Jalandhar, Punjab",544800.0,"Dr B R Ambedkar National Institute Of Technology Jalandhar G T Road Bye Pass, Jalandhar - 144011 (Punjab). 26 (UR-13, OBC-07, SC-03, ST-01, EWS-02)."
235,Website Designer,ARE InfoTech,"Ahmedabad, Gujarat",210000.0,The designer should also be familiar with the Responsive design using frameworks such as BootStrap (latest) also should know how to create HTML from PSD files.
236,System Administrator,Orbit Techsol (w) Pvt. Ltd.,"Mumbai, Maharashtra",375000.0,"Working on SCCM, Office 365 Administration, Backup Tools, VMWare. Only male candidates can apply.*. Only Male candidate can apply."
237,Accounts Assistant,NDC DIAGNOSTIC CENTRE PVT LTD,"Navi Mumbai, Maharashtra",Nan,"Must have 3 years of experience in Accounting, Taxations. Placing of Purchase Orders, preparing GRN, entering Consumption. Personal Care & Home Health."
238,"Apply Fast, Hiring Closes Soon In Jio",Company Hidden,"Mumbai, Maharashtra",Nan,Candidates required for data entry work and voice non - voice operations Interested candidates dont miss the opportunity apply fast freshers and experienced…
239,Production Supervisor,Miracle Group,"Bagru, Rajasthan",330000.0,Looking for young and dynamic candidate who can handle supervision of plant of packaging industry / manufacturing in mono labels & cartoons .
240,Data Entry Operator,Factocert,"Mysore, Karnataka",Nan,"Candidate should have basic knowledge on MS Excel. Operate MS Excel, Reading and understanding data. Required Experience, Skills and Qualifications*."
241,Front Office Executive/ Executive Assistant,Atharva Lifesciences Consulting,India,Nan,You should also be comfortable with the Internet and Web. For this reason you must be skilled in managing your time at work effectively.
242,Terminal Operator/ Equity Dealer Opening in Broking Industry,Tradebulls Securities Pvt. Ltd.,"Ahmedabad, Gujarat",240000.0,Every Employee who Joins Tradebulls Are Eligible for Every Six Monthly Increment on base of their performance Criteria –*.
243,Data Entry Operator/Computer Operator,Indies Global Foods Pvt Ltd,"Kolkata, West Bengal",189000.0,Our company is Located in New Ashok Nagar Delhi. Job Summary*Our company is in E-Learning industry. Currently we have 10 employee in our organisation.
244,Night Shift Data Entry Operator,Troology,"Lucknow, Uttar Pradesh",Nan,We are seeking English Typists who want to work on a night shift project. We will provide them with a handsome salary and a good atmosphere. … 10 PM to 6 AM.
245,Drug Data Entry Operator,"CMHO, Kabirdham",India,Nan,Those Candidates who are interested in the vacancy details & completed all eligibility criteria can read the Notification & Apply. … Drug Data Entry Operator 268.
246,Tax Assistant,PENTAGON TAX,"Bengaluru, Karnataka",1042500.0,Tax Assistants provide support to an organizations tax or accounting department Their role is a combination of administrative assistance and accounting support…
247,Vacancy Jio Telecom Company Apply Here,Hr Solutions.. Hiring For Hr Solutions..,"Srinagar, Jammu and Kashmir",Nan,We are Hiring candidates in Reliance Jio Telecom CompanySalary Monthly Bases -14 000 40000Immediately contactDesignation - Supervisor Store keeper Senior…
248,US IT Recruiter,Tekfortune,"Indore, Madhya Pradesh",468000.0,"ROAD, Indore, Madhya Pradesh 452010. … Excellent communication skills and strong negotiation skills handling US Citizens, Green Card holders, EAD and H1B."
249,Hiring Executive/ Persona Assistant- 8+years- Mumbai-goregoa...,Pride Technologies India,"Mumbai, Maharashtra",Nan,"Must be an enthusiastic, positive team player who is… Please refer to the Job description above. … Russell Tobin Associates Staffing Solutions India Pvt Ltd."
250,Clerk cum Computer Operator,Lyness mart pvt ltd,"Roorkee, Uttarakhand",263934.0,Our company is required computer cum clerk for office work. … Well manners and hard working guys required. … Honest and hard working guys.
251,Haring Candidate Full Time In Supervisor Reliance Jio Compan...,M S Recruitment Hiring For Hiring For Candidates,"Kolkata, West Bengal",0,Job responsibilities for Reliance Jio Telecom supervisor Lead a team of technicians to undertake commissioning activities in projects Interfaces with other…
252,MIS,V5 Global Services Pvt Ltd,"Ahmedabad, Gujarat",Nan,"Must have Good experience on working on Advance Excel (VLOOKUP,HLOOKUP, PIVOT TABLE, DASHBOARD,COUNTIF,),. … Please refer to the Job description above."
253,New Opening For Data Operator Clerk,AE-RT Private Limited,"Kothrud, Pune, Maharashtra",0,We are hiring for Data Operator Clerk. The candidate should have fundamental learning of computer and help together employees on their necessities for job runs…
254,Customer Care- share market,A2tech,"Ahmedabad, Gujarat",150000.0,Opening for Customer Care Executive in Ahmedbad.. … HSC with 2 Yr EXP./Graduate. … To make outgoing calls to Clients. … To inform them about products and services.
255,Team Member - Purchase,Acumen 360°,"Vadodara, Gujarat",Nan,Please refer to the Job description above. … The position is required to work with Raw Material suppliers both domestic & International for India & USA plant…
256,Site Supervisor for office interior project,Shivani Interior Solutions Pvt. Ltd,"Bengaluru, Karnataka",275000.0,"Familiarity with rules, regulations, best practices and performance standards in Turnkey Design and Build. … Today, SISPL is the only firm offering an extensive…"
257,Computer Operator,K.T. Automation,Gujarat,Nan,"Confident Candidate May walk in on Monday Wednesday and Saturday between 10 to 12 with Latest resume,. You can contact on 9227788384 for confirm your visit."
258,Accounts Executive for travel agency,ISH TRAVEL AND TOURS PVT LTD,"Delhi, Delhi",330000.0,"Required Accountant / sr. Accountant for IATA Travel Agency Job Type: Full-time Salary: ₹15,000.00 to ₹40,000.00 /month Experience: * account management: 5…"
259,Back Office Assistant,PALMLINE PLASTICS,"Vasai, Maharashtra",126000.0,"We want to hire an executive who will lead a team of 2 employees. He will be taking care of Dispatch of Goods coming on the Online Portal, prepare the invoice…"
260,Oil Gas(operations),First Call H Resource P. Ltd,"Bengaluru, Karnataka",1100000.0,"Very Good Knowledge of Products and Processes of the OIL and GAS Domain.Very Good working knowledge of MS-Office(Word ,Excel Charts, Pivots etc.), Operating…"
261,Accounts & Admin Executive,TDF Diamonds & Gold,"Mumbai, Maharashtra",Nan,"Currently looking for both senior and junior positions. Accounts executive will handle day to day transactions. … Ledger, taxes and company accounts."
262,R2A Controllership TM,Capgemini,"Bengaluru, Karnataka",Nan,Excellent working knowledge of Accounting Principles and their implementation. Excellent operational exposure to ERP- preferably SAP.
263,Front Desk cum Admin Executive,vakrangee limited,"Ahmedabad, Gujarat",168000.0,"Job Summary ~ Responsibilities and Duties Handing entire office admin work attending calls Job Type: Full-time Salary: ₹10,000.00 to ₹18,000.00 /month…"
264,Exec Administrative Assistant,Medtronic,"Bengaluru, Karnataka",Nan,Will be an added advantage if the person has done a Business analyst role supporting key decision makers in business (Senior Director / VP).
265,Mainframe - JCL,Zensar Technologies,"Pune, Maharashtra",Nan,Mainframe - JCL - (0041982) Description This SRF is for NGP DEV Transition - Sr. Developer position Primary Location: India-Maharashtra-Pune Job Posting:…
266,JGM/DGM (Personnel & Admin),Prabha Energy,"Ahmedabad, Gujarat",Nan,3 Years of experience in oil and gas industry and CBM operations. … Shortlist candidates for personal or telephonic Interview with related department.
267,Accounts Executive,Meher International,"Surat, Gujarat",287500.0,We are hiring an Accounts Executive who can handle the General Accounts related work. … Should be responsible for entire GST related work.
268,Job Opening at pre opening property,Mango Hotels,"Dwarka, Gujarat",228000.0,"Dwarka is all set to become a Mango City ! Mango Hotels Dwarka is inviting applications across all departments. … F&B, Housekeeping, Front Office, Maintenance."
269,Trainee Executive – NOC/SOC,Securview,"Pune, Maharashtra",Nan,"No required work experience in the IT security industry. … Undergo training for 6 months to learn security monitoring concepts, primary analysis of the logs,…"
270,[Government] National Council for Cement and Building Materi...,National Council for Cement and Building Materials...,India,570000.0,"Send your application on plain paper giving all details along with recent passport size photograph to the Director General, National Council for Cement and…"
271,Accounts and Administration Officer,Saffron Eduworld Pvt Ltd,"Jamnagar, Gujarat",150000.0,We require Accounts and Administration manager for our school located at Jamnagar. Beside salary Free food and Accommodation will be provided for deserving…
272,Freelance Content Writer Jobs,SearchEngineACE,"Shimla, Himachal Pradesh",150000.0,"Freshers with excellent writing skills can also apply. … If you wish to be a part of a creative team developing the most appealing content for digital media, come…"
273,Junior Assistant,Government of Assam,"Barpeta, Assam",450000.0,The incomplete applications and the applications submitted after the scheduled date will not be accepted.14 Department will not be responsible for any loss of…
274,PC Lunia looking for freelance video editor.,P C Lunia,"Mumbai, Maharashtra",600000.0,Excellent knowledge of After effects. Continuously discover and implement new editing technologies and industry’s best practices to maximize efficiency.
275,Walkin - Computer Operator (29 - 31 Aug 2019),D Source,"Nashik, Maharashtra",Nan,"Visit bank for Banking transactions. Only Married Female can apply. Enter data in company software,. 29 Aug 2019 - 31 Aug 2019."
276,IT Recruiter/ office Administrator,Techforce infotech,"Ahmedabad, Gujarat",Nan,"Require to handle entire recruitment process i.e. Resume screening, candidate's technical knowledge screening, schedule the interviews, connecting with…"
277,Staff Car Driver,India Post,"Bengaluru, Karnataka",498600.0,The application [sl without complete information or without copies of certificates or the applications enclosing copy/copies of the certificates without self…
278,Accounts Executive,DS Business Services,"Ahmedabad, Gujarat",330000.0,Note Open for Travelling (Ahmedabad to Mundra frequently*. Education - Bcom / Mcom / CA Inter/MBA (Finance). Practical exposure in SAP (MUST).
279,Public Relations,Williams Marketing (OPC) Pvt Ltd.,"Kharadi, Pune, Maharashtra",390000.0,"You have strong experience working in a PR role within F&B or FMCG, or in an agency where you've led accounts and been instrumental in the client's success."
280,Zone / State Coordinator,VEDOKT,India,Nan,All interested person wishes to join us may send his/her CV at assessor@vedokt.com. Job Responsibilities of the Coordinator:
281,Transport Co-ordinator - Safety,Total Gas,"Mumbai, Maharashtra",306000.0,Monitoring of Transportation Safety Policy – Maximum driving hours; Transport is the backbone of LPG operations – Monitoring of around 300 trucks.
282,Office Assistant(Female Only),Infoicon Technologies,India,Nan,"Experience : Fresher Skills and Requirements : Good communication Skills Presentable Creative, 12th or Graduate Job Description : Greeting clients and…"
283,CAD OPERATOR,Kalamek Garments/kivon shirts,"Ahmedabad, Gujarat",162000.0,Please visit http://kivonshirts.com/ for more information. Candidate with prior work experience of similar industry & profile will be given preference.
284,Process Executive - Data,Cognizant,"Bengaluru, Karnataka",Nan,Â€¢ Prescreen a claim/treatment request for completeness and determine if this is appropriate for further processing. Â€¢ Adhere to shift handover processes.
285,QA Inspector ( CMM ),Shree Services,"Pune, Maharashtra",252000.0,"Industry - Sheet Metal / Fabrication Industry. If you have any candidate 'let me forward the CV Immediately and call me. 25,000.00 – ₹ 35,000.00 Gross Pm."
286,IT Recruiter,Sparsh Innovators Pvt. Ltd.,"Ranchi, Jharkhand",325000.0,Hands-on experience with various interview formats (e.g. Interview candidates combining various methods (e.g. Excellent verbal and written communication skills.
287,Project Coordinator,Sharp NGO,"Delhi, Delhi",330000.0,"SHARP NGO is a 20 years old, PAN-IndiaOrganization. With work centers in 65 cities ,. And is also India’slargest health network, which is helping companies…"
288,Revenue Executive,"Marriott International, Inc","Indore, Madhya Pradesh",Nan,Marriott International is an equal opportunity employer committed to hiring a diverse workforce and sustaining an inclusive culture. Start Your Journey With Us.
289,Morning shift Available for Freshers in bpo,VR TalentHunters,India,275000.0,Industry ITES / BPO / KPO / LPO / Customer Service / Operations. We are Hiring for Customer Care Executive /voice Process / Tele-caller / Bpo/ Call Center for…
290,MIS Executive,Element Retail Pvt Ltd,"Santacruz, Mumbai, Maharashtra",180000.0,"We are a leading retail group, looking for MIS Executive to perform day to day work. A) Coordinating in data management & reports preparation for."
291,Billing Executive for interior work,Dia Furnishers,"Goregaon, Mumbai, Maharashtra",240000.0,"*Job Summary Billing & measurement Department for Interior Work * Job Type: Full-time Salary: ₹15,000.00 to ₹25,000.00 /month Experience: * work: 1…"
292,Project Coordinator,TRIO INDIA,"Dera Bassi, Punjab",180000.0,COORDINATING WITH SITE ENGINEERS AND TRACKING COURSE OF WORK ON DAILY BASIS. VISITS TO SITES TO CHECK STATUS OF WORK.
293,OFFICE ASSISTANTS,Sar Healthline,India,Nan,S S L C / Plus Two age below 30 years. Area of Expertise:An honset and dedicated person.Should have two wheeler license.Should be prepared to do any office job…
294,Customer Care Executive,VR TalentHunters,India,180000.0,Customer Care Executive/ BPO/ Tele callers/ Voice process/ International Call center/ WEB CHAT/ voice Process. … Freshers and passouts can also apply.
295,IMS,Infognana IG Solution,India,Nan,Interacting with Global clients over Call & Email. Ability to assess the impact of different network problems on end… Excellent Communication with client side.
296,Assistant Lecturer,Vibration Academy,"Bharuch, Gujarat",390000.0,Under this new Faculty Training Programme (FTP) Vibration Academy is looking for the fresh as well as experienced talents to support our learning and teaching…
297,Fresher / Graduate / Under Graduate / Call Center / Bpo...,VR TalentHunters,India,250000.0,"Calling, Customer Service, Voice,Support.candidate with Good Customer Service Skills Would Be… Industry ITES / BPO / KPO / LPO / Customer Service / Operations."
298,Data Entry / Internet Operators,Creative World,Andhra Pradesh,Nan,Graduate/ MBA/ MCA or pursuing. … MS Office & Internet Knowledge. … Learning Aptitide & Quick Grasping Power. … Written English should be ok.
299,"Officer, AML Platforms",State Street,"Bengaluru, Karnataka",Nan,Review procedures and controls on an annual basis and update as required. … Ability to liaise between the business and technology teams with strong collaboration…
300,Trainee,National Dairy Development Board,"Anand, Gujarat",Nan,NDDB offers an excellent learning environment with considerable… (Last date of receiving applications is 11 September 2019).FreshersLIVE wishes you all the best.
301,Customer Support Executive,Fitternity,India,288000.0,Offer to call the customer at their convenience should they have questions that may be better answered over the phone rather than through live chat.
302,[Government] Airline Allied Services Limited (AASL) Jul-2019,Airline Allied Services Limited (AASL),India,0,"49 vacancies in various Departments, Pay : … 27755/- consolidated per month, Age : 40 years as on 01/08/2019. … 03 vacancies in various Departments, Pay :…"
303,Back office computer operator - 10th/12th Fresher,S.M.Trading Private Limited,"I.I.P. Dehradun, Uttarakhand",132000.0,"He will manage confidentiality, as he will be operating with delicate information. … Verify data and correct database. … Give the regular Detail of business."
304,Accounts Executive,Food Cloud,India,Nan,FoodCloud is looking for a sharp and diligent accountant who is a problem solver. Quick Ledger reconciliation with chefs and other vendors.
305,Staff selection,Blizzards Group,"Buldana, Maharashtra",0,"Staff selection + free accomodation + free training Job Type: Full-time Salary: ₹15,000.00 /month Experience: * work: 1 year (Preferred) Education: *…"
306,Telecaller Executive,Shree Navkar Tradecom Pvt Ltd,"Ahmedabad, Gujarat",144000.0,Provide Sales Lead to our sales Executives once direct queries generated. Do calls and Follow ups with Sales persons and Customers.
307,Office Clerk/Receptionist,XBRL INDIA,"Jalandhar, Punjab",Nan,"Required Experience, Skills and Qualifications*. Candidate can learn Commerce related work."
308,Reliance Jio Telecom Required Male And Female Candidate,Freelancer Vikash Kumar 1 Hiring For Candidate,"Cuttack, Orissa",Nan,We are Hiring candidates in Reliance Jio Telecom Company r Salary Monthly Bases -14 000 40000r Immediately contactr Designation - Supervisor Store keeper Senior…
309,Admin Executive (Female Only),Jobs for Goan,"Porvorim, Goa",168000.0,"9:00 am – 6:30 pm (Mon to Sat). 0-2 yrs in Admin or Office Assistant. Admin Task, Handling Clients, Co-ordinating with Sales Team."
310,Data Entry Operator,Bhatt Pathology Lab,"Rajkot, Gujarat",162000.0,"* Patient data entry * Client data entry * Medical data entry Job Type: Temporary Salary: ₹10,000.00 to ₹17,000.00 /month Education: * Bachelor's (Required…"
311,Data Entry Operator in Banking Process,Honorary Future Makers Pvt. Ltd.,"Subhash Nagar, Delhi, Delhi",228000.0,Over time facilities if you want you may work on holidays also and get paid. In hand salary from 13.5K to 21.5k per month. Basic Knowledge of Computer Excel.
312,GM Operations - Catering industry,Plenum Specialty Foods Pvt. Ltd,"New Delhi, Delhi",0,Should have good experience into catering operations and must be well versed with know how in same industry. The role of GM would be to handle the operations of…
313,Internal Auditor,Digiphoto Entertainment Imaging,"Navi Mumbai, Maharashtra",360000.0,"Surprise site visits for audit (Regular cash checking, activity report checking, waste counting and other operational work) – involves frequent and last-minute…"
314,[Government] Gas Turbine Research Establishment (GTRE) Aug-2...,Gas Turbine Research Establishment (GTRE),India,Nan,The last date for submission of online application form is 07/09/2019 up to 5:00 PM. … Shortlisted candidates will be called for Written Test / Interview.
315,personal Secretary,ripox media,"Mumbai, Maharashtra",504000.0,"Job Summary female personal Secretary. Responsibilities and Duties female personal Secretary. Job Types: Full-time, Contract, Fresher Salary: ₹35,000…"
316,"Panel Officer - Cracker, VMD",Reliance Industries,"Vadodara, Gujarat",Nan,"At Reliance, every employee is expected to abide by the six Core Values and associated behaviours that underpin our way of working. … Ability to write log book."
317,"Panel Officer - PVC, VMD",Reliance Industries,"Vadodara, Gujarat",Nan,"At Reliance, every employee is expected to abide by the six Core Values and associated behaviours that underpin our way of working. … Ability to write log book."
318,Panel Officer - PPCP VMD,Reliance Industries,"Vadodara, Gujarat",Nan,"At Reliance, every employee is expected to abide by the six Core Values and associated behaviours that underpin our way of working. … Ability to write log book."
319,HSE Officer,Enquest Petrosolution pvt ltd,"Barmer, Rajasthan",Nan,"Reporting to the management about unsafe conditions, unsafe act with analysis chart and tray to minimize those acts with management support."
320,Quality Control Supervisor,JJ Plastalloy Pvt Ltd,"Bharuch, Gujarat",275000.0,"Maintain work flow by monitoring steps of process, setting process variables, observing control points and equipments, implementing cost reduction.Complete…"
321,New Opening In Reliance Jio Telecom Industry,Hr Solutions.. Hiring For Hr Solutions..,"Dibrugarh, Assam",Nan,We are Hiring candidates in Reliance Jio Telecom CompanySalary Monthly Bases -14 000 40000Immediately contactDesignation - Supervisor Store keeper Senior…
322,Associate,PwC,"Ahmedabad, Gujarat",Nan,"As an Associate, you’ll work as part of a team of problem solvers with extensive consulting and industry experience, helping our clients solve their complex…"
323,Office Helper,KEN'S CAB PVT LTD,"Gandhinagar, Gujarat",Nan,"Office management, employee coordination, odd jobs of the office. … Office management, employee coordination, basic net search, basic typing and email."
324,Inspector of Income Tax,Income Tax Department,"Hyderabad, Telangana",0,"For full application format, qualification, eligibility criteria please visit www.incometaxhyderabad.gov.in. … Principal Chief Commissioner of Income Tax, Andhra…"
325,Data Entry Operator,Krib Information Services,India,Nan,"To apply for any of the positions, please send your resume and position of interest to info@kribindia.com. … Basic knowledge of Computer (i.e."
326,LDC cum Data Entry Operator,Pollution Control Committee,"Daman, Daman and Diu",0,Initially for a period of 3 years from date of engagement which maybe extended as per the requirement depending with suitablity and work performance.
327,Production Supervisor,JJ Plastalloy Pvt Ltd,"Bharuch, Gujarat",275000.0,"We need minimum 3 years of experience in Production of Masterbatches, polymer compound. … Planning adherence on day -to-day activities, production schedules,…"
328,Accounts Executive,PSA Chemicals,India,Nan,"Maintaining and transferring money between bank accounts as required. … Salary As per industry norms. … Working with journals, sales & purchase ledgers and…"
329,Finance and Accounting at Accenture Operations,Accenture,"Bengaluru, Karnataka",Nan,You will be accountable for Order to Cash is a process that starts from customers enquiry and involves sales order from customer to delivery and invoicing.
330,"Clerk, Assistant",Government of Tamil Nadu,"Karur, Tamil Nadu",0,"Karur District Central Cooperative Bank, Kodumudi, Erode, SH-172A, Erode Unjalur Kodumudi Karur Road, Erode, Erode, 638152 Selection Procedure :…"
331,Operations Executive,Bentchair,"Ambala, Haryana",288000.0,"Manage and deliver large and complex ERP engagements to identify design, and implement creative business and technology solutions for large clients across…"
332,KYC AML Banking,Accenture,"Mumbai, Maharashtra",Nan,The candidate will be part of a large Remediation team and will be responsible for a number of activities aligned with the remediation of Know Your Customer…
333,IN-FLIGHT SERVICES,Spicejet,India,Nan,Experience Freshers and Experienced Cabin crew with any domestic or international carrier can apply. … Confidence and ability to handle passengers and provide…
334,Fresher Data Entry Operator/Computer Operator,MRT INFO TECHNOLOGIES PVT.LTD,"Bhajan Pura, Delhi",222000.0,"We are looking for Data Entry Operator (DEO), Maintain Data on our google drive applications (documents, sheets, forms) within the organization, as he will be…"
335,Customer Service Executive-Zonal Operations-Goregaon,Aditya Birla Group,"Goregaon, Mumbai, Maharashtra",Nan,Responsible for day to day operational financial commercial & administrative activities of the branch. Ensuring 100% compliance to regulatory and organizational…
336,Project Coordinator,Astics Inc/ Astics Techlabs pvt ltd,"Ahmedabad, Gujarat",360000.0,We are looking for an experienced and dedicated scrum master to join our growing team. The individual in this role would be responsible for overseeing our…
337,Graduate computer operators,GK Software Solutions pvt ltd,"Chandigarh, Chandigarh",156000.0,Timings will be 8 hours a day shift. Salary 10 k to 16 k. Location will be chandigarh only*.
338,Client Servicing executive,concept BIU,"Okhla Industrial Estate, Delhi",330000.0,"Client handling, Analysis Report including category mappings ,Co-ordination with centres ,New Client briefing/ implementation Quality checking, Whatsapp /SMS…"
339,"Maintenance Supervisor Maruti, Salary 36k All India",Freelancer Harjinder Kaur Hiring For maruti Suzuki,"Ahmedabad, Gujarat",0,R r Company name -Maruti Suzuki India Ltd Contact with us - Miss Tanishka 7289025991 Candidate will be responsible for fitting and manufacturing related…
340,Operations Coordinator,Barefoot College,"Tilonia, Rajasthan",270000.0,"Bachelors in any subject, preferably in Development studies. 1-2 years’ work experience with Indian or International social sector organizations working in…"
341,Opening for Executive-BD (Male) at Ahmedabad,Multi Mantech International Pvt Ltd,"Ahmedabad, Gujarat",342000.0,"Ltd is an ISO certified engineering consulting firm based in Ahmedabad.MMIPL offer a full range of planning, design and construction management services across…"
342,Production Supervisor (Wagholi),Convertex India pvt. Ltd,"Pune, Maharashtra",Nan,"4.Need to keep a check on wastage, Quality and scrap accordingly report it to reporting the factory manager. Required Experience, Skills and Qualifications*."
343,Billing Executive,AES Technologies Pvt. Ltd.,India,Nan,"Update accounting records with new payments, balances, customer information etc. 6 months – 2 years. Issue customer account statements periodically or whenever…"
344,Chief Digital and IT Officer - CFI ( Chemical Sector) - Gras...,Aditya Birla Group,"Worli, Mumbai, Maharashtra",Nan,"Engage and create Industry peers and general best practices related to our business thru MIS on quarterly basis. Oct 18, 2019, 6:29:00 PM."
345,Mainframe iSeries,Zensar Technologies,"Pune, Maharashtra",Nan,"Aug 27, 2019, 6:25:32 PM. IBM Iseries (V7.1), environment management, Troublshooting, AWD related configuration, Mainframe, cobol, Unix, Oracle 11G."
346,Accounts Executive,Sardar Placement,India,270000.0,"Any Graduate - Any Specialization, Graduation Not Required, B.Com - Commerce. Any Postgraduate - Any Specialization, Post Graduation Not Required."
347,Data Entry Operator,Harsoria Healthcare Private Limited,"Gurgaon, Haryana",Nan,"Research and obtain further information for incomplete documents. Excellent knowledge of correct spelling, grammar and punctuation."
348,BANK OFFICER RURAL BRANCH BANKING,AU small Finance bank,"Khargon, Madhya Pradesh",Nan,"Responsible for acquiring new customers through multiple channels – campaigns (in the vicinity), branch walk –ins, referrals from existing customers , through…"
349,Back Office Executive,sata cloud tech,"Chennai, Tamil Nadu",396000.0,"And handle functions that help the front office. Are processing projects, managing databases, performing market research, analyzing consumer trends, and…"
350,Graphic Designer,twoiq,"Ahmedabad, Gujarat",360000.0,Demonstrable design and photo editing skills with a strong portfolio. Good knowledge of Landing page design. Minimum 1 year of experience in graphic designing.
351,Administration Executive,AZA Fashions Pvt Ltd,"Mumbai, Maharashtra",390000.0,Develop and carry out an efficient documentation and filing system for both paper and electronic records. Discretion with personal and confidential information.
352,NUN Community Volunteer - Coordinator (Youth Advocates) - Wa...,ActiveUnited Nations Development Programme (UNDP),"Thiruvananthapuram, Kerala",0,"The average maximum temperature of Wayanad is 29°C and the average minimum is 18°C. Further, one-time payment of Rs. A Volunteer Living Allowance (VLA) of Rs."
353,[Government] The General Insurance Corporation of India (GIC...,The General Insurance Corporation of India (GIC Re...,India,0,Minimum 21 Years and Maximum 30 Years as on 21st August 2019. Downloading of call letters for examination commences from – Around 10 days prior to the date of…
354,Front Office Assistant,Tutors Expert,"Tilaknagar, Madhya Pradesh",175000.0,Office location Near Indraprasth Tower MG road Indore Madhya Pradesh. Candidates must know how to handle the client.Basic Computer knowledge is must.
355,Fashion Merchandiser,Deepkala Silk Heritage,"Ahmedabad, Gujarat",270000.0,Need a full time fashion merchandiser at our new store opening in Ahmedabad soon.
356,Project Coordinator (IT),Excellent Webworld Pvt. Ltd.,"Ahmedabad, Gujarat",360000.0,"Project Coordinator responsibilities include assisting our management in organizing our ongoing projects. This task involves monitoring project plans, schedules…"
357,Technician,Maharashtra State Power Generation Company Limited,"Mumbai, Maharashtra",237090.0,"ITI Passed in related trades from recognised institute. Wireman, Electrician, Machinist, Fitter, Operator cum Mechanic, Electronics Mechanic etc."
358,Computer Operator,THERMOCOOL ENGG. CORP.,"Kaithal, Haryana",216000.0,"English required Experience required minimum 1 years Education minimum 12th pass Job Type: Full-time Salary: ₹6,000.00 to ₹30,000.00 /month Experience: *…"
359,Back Office Executive,The Athlos,"Ahmedabad, Gujarat",192000.0,"Should be responsible for processing projects, managing databases, performing market research, analyzing consumer trends, and handling accounting and finance…"
